domain,security_email,score,sources,source_url,snippet
askable.com,viasecurity@askable.com,5,direct,https://www.askable.com/legal/privacy-policy,concernsabout the security of personal data held by Askable should be reported to us without delay viasecurity@askable.com</p><p><strong>How long we keep your personal data</strong>‍</p><p>We retain y
assembly.com,security@assembly.com,5,direct,https://security.assembly.com/,mprehensive security and compliance details in the Security section of our documentation or contact security@assembly.com with specific questions or requests. NOTE: Documents may reference our old com
atlan.com,security@atlan.com,5,direct,https://atlan.com/.well-known/security.txt,gle.com/forms/d/e/1FAIpQLScnmM81wrEEXA-fX5o8WQxsMUgWy5nZQf8owS6zKzS-yVS8-w/viewform Contact: mailto:security@atlan.com Encryption: https://atlan.com/security/public-key.txt Acknowledgments: https://at
attributionapp.com,security@attributionapp.com,5,direct,https://www.attributionapp.com/terms,"n within 24 hours after learning of any unauthorized use of its account by emailing <a href=""mailto:security@attributionapp.com"">Security@AttributionApp.com.</a></li> <li>3.5.3. Customer agrees to com"
avoma.com,security@avoma.com,5,direct,https://www.avoma.com/security,"ust.avoma.com/"" target=""_blank"">Trust Center</a><br/><br/>Please reach out to us at <a href=""mailto:security@avoma.com"">security@avoma.com</a> with questions. We have a policy of responding to securit"
axiom.co,security@axiom.co,5,direct,https://axiom.co/security,"f exploitability)</li></ul><p class=""pt-4"">To submit a report, please email<!-- --> <a href=""mailto:security@axiom.co"" class=""underline"">security@axiom.co</a></p></div></div><div class=""flex flex-col "
backstory.ai,security@backstory.ai,5,direct,https://www.backstory.ai/privacy,"ge or older. If you believe that we have mistakenly collected such information, please notify us at security@backstory.ai so that we may immediately delete the information.</p><p><strong>9. ADDITIONAL"
betterstack.com,security@betterstack.com,5,direct,https://betterstack.com/security,lose any security concerns.</p> <a class='mt-3 flex items-center group text-[#5B63D3]' href='mailto:security@betterstack.com?subject=Report%20a%20security%20vulnerability&amp;body='> Contact us&nbsp; 
bitrise.io,security@bitrise.io,5,direct,https://bitrise.io/platform/devops/security,"""contactPoint"": { ""@type"": ""ContactPoint"", ""contactType"": ""Security"", ""email"": ""security@bitrise.io"" } }, ""mainEntity"": { ""@type"": ""FAQPage"", ""@id"": ""https://bitrise.io/platform/devo"
bloomreach.com,securityreporting@bloomreach.com,5,direct,https://www.bloomreach.com/security.txt,Contact: mailto:securityreporting@bloomreach.com Expires: 2029-07-23T14:36:00.000Z Preferred-Languages: en
bonuz.market,security@bonuz.market,5,direct,https://bonuz.market/security,"g-white/[0.05] text-white/60 text-xs no-underline hover:bg-white/10 transition-colors"" href=""mailto:security@bonuz.market""><span class=""w-1.5 h-1.5 rounded-full bg-white/40""></span>Contact security te"
bounceinsights.com,security@bounceinsights.com,5,direct,https://bounceinsights.com/.well-known/security.txt,Contact: mailto:security@bounceinsights.com Expires: 2028-02-11T15:00:00.000Z Preferred-Languages: en
brale.xyz,security@brale.xyz,5,direct,https://brale.xyz/.well-known/security.txt,Contact: mailto:security@brale.xyz Expires: 2030-05-15T05:00:00.000Z Encryption: https://keybase.io/brale_security/pgp_keys.asc?finger
browserless.io,security@browserless.io,5,direct,https://www.browserless.io/trust,"e data protection regulations. Privacy-related inquiries can be directed to<!-- --> <a href=""mailto:security@browserless.io"" class=""text-primary hover:underline"">security@browserless.io</a>.</p><h3 cl"
buffer.com,security@buffer.com,5,direct,https://buffer.com/legal,"licate the issue</li></ul><p>Please email any issue you’d like to report to<!-- --> <a href=""mailto:security@buffer.com"">security@buffer.com</a></p><h3 id=""gpg-encryption"">GPG Encryption</h3><p>If you"
buildkite.com,security@buildkite.com,5,direct,https://buildkite.com/about/security/,"y Program </h3> We run a private bug bounty program. We welcome people to join by <a href=""mailto:security@buildkite.com"">contacting us</a>. </li> <li class=""font-sans text-brand-navy-700 dark:text-br"
caffeine.ai,security@caffeine.ai,5,direct,https://caffeine.ai/.well-known/security.txt,Contact: mailto:security@caffeine.ai Expires: 2026-12-11T23:59:00Z Preferred-Languages: en Canonical: https://caffeine.ai/.well-known/se
calendly.com,security@calendly.com,5,direct,https://calendly.com/.well-known/security.txt,Contact: mailto:security@calendly.com Hiring: https://careers.calendly.com Canonical: https://calendly.com/.well-known/security.txt Expir
chariow.com,security@chariow.com,5,direct,https://chariow.com/en,"u discover a security vulnerability in a Chariow system, report it promptly to\"",\""report_email\"":\""security@chariow.com\"",\""report_details\"":\""Include a detailed summary and any supporting evidence ("
clappia.com,security@clappia.com,5,direct,https://www.clappia.com/security,"xploited:</p><ul role=""list""><li>Security researchers can report vulnerabilities by reaching out to security@clappia.com.</li><li>All valid reports are acknowledged within 2–3 business days and triage"
classdojo.com,security@classdojo.com,5,direct,https://www.classdojo.com/.well-known/security.txt,Contact: mailto:security@classdojo.com Expires: 2026-07-01T04:00:00.000Z Encryption: https://www.classdojo.com/contact/ Policy: https://bu
clazar.io,security@clazar.io,5,direct,https://clazar.io/security,"gion"": ""CA"", ""postalCode"": ""94103"", ""addressCountry"": ""US"" }, ""email"": ""security@clazar.io"", ""sameAs"": [ ""https://www.linkedin.com/company/clazar"", ""https://twitter.com"
clerk.chat,security@clerk.chat,5,direct,https://clerk.chat/security/,"a stored?""},{""@type"":""Question"",""acceptedAnswer"":{""@type"":""Answer"",""text"":""Yes. Please reach out to security@clerk.chat and we will get back to you asap.\n""},""name"":""Do you have a formal Business Cont"
commonroom.io,security@commonroom.io,5,direct,https://app.commonroom.io/.well-known/security.txt,Contact: mailto:security@commonroom.io Expires: 2026-12-01T20:00:00.000Z Preferred-Languages: en
copilot.money,security@copilot.money,5,direct,https://copilot.money/.well-known/security.txt,"Contact: mailto:security@copilot.money Acknowledgments: https://copilot.money/security-hall-of-fame Preferred-Languages: en, es Canonical:"
credibledata.com,security@credibledata.com,5,direct,https://credibledata.com/security,"package—including current policies and the auditor's letter once issued—by emailing <a href=""mailto:security@credibledata.com"">security@credibledata.com</a>. Our current <a href=""https://credibledata."
crossbeam.com,security@crossbeam.com,5,direct,https://www.crossbeam.com/what-is-crossbeam/security,"rity and compliance details in the Security section of our documentation or contact <a href=""mailto:security@crossbeam.com"" data-wf-native-id-path=""d30b3b26-cf83-518c-20d6-66b3d3ed80f7"" data-wf-ao-cli"
cumbuca.com,security@cumbuca.com,5,direct,https://www.cumbuca.com/.well-known/security.txt,# Cumbuca security.txt # Responsible disclosure policy # Last updated: 2026-04-24 Contact: mailto:security@cumbuca.com Contact: https://cumbuca.com/contact/ Expires: 2027-04-24T23:59:59.000Z Preferred
dartai.com,security@dartai.com,5,direct,https://www.dartai.com/security,"?"", ""acceptedAnswer"": { ""@type"": ""Answer"", ""text"": ""Contact us at security@dartai.com with any inquiries or reports."" } }, { ""@type"": ""Question"","
datocms.com,security@datocms.com,5,direct,https://www.datocms.com/.well-known/security.txt,Contact: security@datocms.com Encryption: https://www.datocms.com/.well-known/DatoCMS_security_pub.asc Preferred-Languages: en Ca
devcycle.com,security@devcycle.com,5,direct,https://devcycle.com/.well-known/security.txt,/devcycle.com/.well-known/security.txt Canonical: https://devcycle.com/security.txt Contact: mailto:security@devcycle.com Expires: 2030-12-31T12:00:00Z Policy: https://github.com/DevCycleHQ/.github/bl
dodopayments.com,security@dodopayments.com,5,direct,https://dodopayments.com/.well-known/security.txt,Contact: mailto:security@dodopayments.com Contact: mailto:support@dodopayments.com Expires: 2027-06-28T00:57:30.263Z Preferred-Languages: en
dronedeploy.com,security@dronedeploy.com,5,direct,https://www.dronedeploy.com/security.txt,Contact: mailto:security@dronedeploy.com Expires: 2026-12-31T23:59:59.000Z Preferred-Languages: en Policy: https://trust.dronedeploy.com/res
dropcontact.com,security@dropcontact.com,5,direct,https://dropcontact.com/.well-known/security.txt,"# https://www.rfc-editor.org/rfc/rfc9116 Contact: https://hackerone.com/dropcontact Contact: mailto:security@dropcontact.com Expires: 2027-04-09T00:00:00.000Z Preferred-Languages: fr, en Policy: https"
dukascopy.com,security@dukascopy.com,5,direct,https://dukascopy.com/.well-known/security.txt,Contact: mailto:security@dukascopy.com Expires: 2026-08-31T19:00:00.000Z
elnora.ai,security@elnora.ai,5,direct,https://elnora.ai/.well-known/security.txt,Contact: mailto:security@elnora.ai Expires: 2026-12-28T00:00:00.000Z Preferred-Languages: en Canonical: https://elnora.ai/.well-known/
enigma.com,security@enigma.com,5,direct,https://enigma.com/.well-known/security.txt,Contact: mailto:security@enigma.com Expires: 2027-05-04T23:59:59.000Z Policy: https://www.enigma.com/legal/security Preferred-Languages
epcvip.com,security-reports@epcvip.com,5,direct,https://www.epcvip.com:443/.well-known/security.txt,Contact: security-reports@epcvip.com
eventship.com,security@eventship.com,5,direct,https://eventship.com/.well-known/security.txt,# Eventship Security Policy # https://eventship.com/.well-known/security.txt Contact: mailto:security@eventship.com Expires: 2026-12-31T23:59:00.000Z Preferred-Languages: en Canonical: https://eventsh
exa.ai,security@exa.ai,5,direct,https://exa.ai/security,"ivacy, disrupting systems, destroying data, or harming user experience.</li><li>Use <a href=""mailto:security@exa.ai?subject=%5BVDP%5D%20"" class=""page__Link-sc-e0fdd79d-7 hZhMBK"">security@exa.ai</a> fo"
expo.dev,vulnerability-disclosures@expo.dev,5,direct,https://expo.dev/.well-known/security.txt,Contact: mailto:vulnerability-disclosures@expo.dev Canonical: https://expo.dev/.well-known/security.txt Hiring: https://expo.dev/careers
ezekia.com,securityteam@ezekia.com,5,direct,https://ezekia.com/.well-known/security.txt,Contact: mailto:securityteam@ezekia.com Expires: 3000-07-07T09:32:00Z
facilio.com,security@facilio.com,5,direct,https://facilio.com/security/,"application. If you wish to report a security concern, please email to security@facilio.com. Facilio will address the security questions and issues with an expected response t"
fed10.ai,security@fed10.ai,5,direct,https://www.fed10.ai/security.txt,Contact: mailto:security@fed10.ai Expires: 2026-12-31T23:59:59.000Z Preferred-Languages: en Canonical: https://fed10.ai/security.txt
feedly.com,security@feedly.com,5,direct,https://feedly.com/.well-known/security.txt,Contact: mailto:security@feedly.com
firebird.ai,security@firebird.ai,5,direct,https://firebird.ai/privacy/,"ity vulnerabilities.</p> <p>Researchers should report vulnerabilities to: <a href=""mailto:security@firebird.ai"">security@firebird.ai</a></p> <p>Reports should include sufficient information to reprodu"
geekbot.com,security@geekbot.com,5,direct,https://geekbot.com/security/,"can help your organization?</h1></div><div class=""hero--cta""> <a class=""btn arrow-btn"" href=""mailto:security@geekbot.com""> <?xml version=""1.0"" encoding=""UTF-8""?> <svg width=""27px"" height=""24px"" viewBo"
geotab.com,security@geotab.com,5,direct,https://www.geotab.com/security/,"-direction-xs-row MuiGrid-grid-xs-12 MuiGrid-grid-md-auto css-19nyds2""><a tabindex=""0"" href=""mailto:security@geotab.com"" target=""_self"" class=""css-1c3za5z"" data-testid=""ButtonId"">Contact a Geotab Secu"
getpalm.com,security@getpalm.com,5,direct,https://www.getpalm.com:443/security,"on artifacts, and the latest compliance reports, request access by emailing<!-- --> <a href=""mailto:security@getpalm.com"" class=""text-base laptop:text-large desktop:text-heading4 font-medium text-whit"
gocardless.com,vuln-disc@gocardless.com,5,direct,https://gocardless.com/.well-known/security.txt,"s via the contact method(s) below, only after reading our vulnerability disclosure policy. Contact: vuln-disc@gocardless.com Policy: https://gocardless.com/faq/merchants/security/ Hiring: https://goca"
goflink.com,it-security@goflink.com,5,direct,https://goflink.com/.well-known/security.txt,"Contact: mailto:it-security@goflink.com Expires: 2027-06-01 Preferred-Languages: en, de Canonical: https://www.goflink.com/.well-known/secu"
gotobeat.com,security@gotobeat.com,5,direct,https://gotobeat.com/.well-known/security.txt,Contact: mailto:security@gotobeat.com Expires: 2027-06-03T00:00:00.000Z Preferred-Languages: en Canonical: https://gotobeat.com/.well-kno
hadrian.io,security@hadrian.io,5,direct,https://hadrian.io/.well-known/security.txt,Contact: mailto:security@hadrian.io Encryption: https://files.hadrian.io/hubfs/Website/hadrian-security.asc Policy: https://hadrian.io/
harness.io,security@harness.io,5,direct,https://www.harness.io/security,"k-engagement-tracking=""true"" data-wf-element-id=""4b74cc11-0608-fbf3-d389-ba8853e8a17d"" href=""mailto:security@harness.io?subject=Report%20a%20security%20bug"" class=""text-link layout_flex-horizontal w-i"
heygen.com,security@heygen.com,5,direct,https://www.heygen.com/.well-known/security.txt,Contact: mailto:security@heygen.com Expires: 2026-12-31T08:00:00Z Hiring: https://heygen.com/careers Preferred-Languages: en
higgsfield.ai,security@higgsfield.ai,5,direct,https://higgsfield.ai/.well-known/security.txt,Contact: mailto:security@higgsfield.ai Encryption: https://higgsfield.ai/.well-known/pgp-key.txt Preferred-Languages: en Policy: https://h
highspot.com,security@highspot.com,5,direct,https://www.highspot.com/security/,"us in good faith.</p> <p class=""wp-block-paragraph"">We accept vulnerability reports via&nbsp;<b>security@highspot.com</b>. Reports may be submitted anonymously.</p> </div> </div>"
holidu.com,security@holidu.com,5,direct,https://holidu.com/.well-known/security.txt,Contact: mailto:security@holidu.com Expires: 2026-12-31T23:00:00.000Z Preferred-Languages: en Policy: We operate an invite-only bug bou
hubspot.com,security-notifications@hubspot.com,5,direct,https://www.hubspot.com/hubfs/.well-known/security.txt,-----BEGIN PGP SIGNED MESSAGE----- Hash: SHA512 Contact: mailto:security-notifications@hubspot.com Expires: 2034-06-01:00:00.000Z Encryption: https://keys.openpgp.org/vks/v1/by-fingerprint/3B7FE450
hubstaff.com,security@hubstaff.com,5,direct,https://hubstaff.com/.well-known/security.txt,Contact: mailto:security@hubstaff.com Expires: 2029-02-22T22:22:00Z Hiring: https://hubstaff.com/jobs Policy: https://hubstaff.com/bug-bo
humaans.io,security@humaans.io,5,direct,https://humaans.io/security,"nerability in Humaans product or have a security incident to report, please contact <a href=""mailto:security@humaans.io"">security@humaans.io</a>. By providing a submission, you agree that you may not "
hundredx.com,security@hundredx.com,5,direct,https://hundredx.com/.well-known/security.txt,Canonical: https://hundredx.com/.well-known/security.txt Contact: mailto:security@hundredx.com Expires: 2027-06-20T00:00:00Z Preferred-Languages: en
incident.io,security@incident.io,5,direct,https://incident.io/.well-known/security.txt,Contact: mailto:security@incident.io Policy: https://incident.io/legal/vulnerability-disclosure Expires: 2026-07-15T12:00:00Z
infakt.pl,bugbounty@infakt.pl,5,direct,https://www.infakt.pl/.well-known/security.txt,Canonical: https://www.infakt.pl/.well-known/security.txt Contact: mailto:bugbounty@infakt.pl Contact: tel:+48223071918 Encryption: https://www.infakt.pl/.well-known/bugbounty.asc Expires: 2099
inflection.io,security@inflection.io,5,direct,https://www.inflection.io/legal/privacy-policy,"ons.</p></li></ul><p>To request to exercise any of these rights, please email us at <a href=""mailto:security@inflection.io"">security@inflection.io</a> . As mentioned above, we will respond to your req"
ingenious.build,security@ingenious.build,5,direct,https://www.ingenious.build/,"ivity history, and centralized project data management. For further questions email <a href=""mailto:security@ingenious.build?subject=INGENIOUS.BUILD%20SOC2%20Compliance"">security@ingenious.build</a>.<"
instrumentl.com,security@instrumentl.com,5,direct,https://www.instrumentl.com/.well-known/security.txt,"# If you would like to report a security issue, # please contact us by email Contact: security@instrumentl.com"
intercom.com,security@intercom.com,5,direct,https://www.intercom.com/.well-known/security.txt,"w, only after reading the disclosure policy. Contact: https://bugcrowd.com/intercom Contact: mailto:security@intercom.com Preferred-Languages: en Canonical: https://app.intercom.com/.well-known/securi"
jasper.ai,security@jasper.ai,5,direct,https://www.jasper.ai/security,"tactPoint"": { ""@type"": ""ContactPoint"", ""contactType"": ""Security"", ""email"": ""security@jasper.ai"" } } }, ""mainEntity"": { ""@type"": ""FAQPage"", ""mainEntity"": [ { """
karbonhq.com,security@karbonhq.com,5,direct,https://karbonhq.com/.well-known/security.txt,# If you would like to report a security issue please use the details below: Contact: mailto:security@karbonhq.com Expires: 2026-09-12T23:00:00.000Z Preferred-Languages: en Policy: https://karbonhq.co
kashable.com,security@kashable.com,5,direct,https://kashable.com/security.html,"acts"">To submit a vulnerability, please send your report to <a href=""mailTo:security@kashable.com"">security@kashable.com</a> including: </div> <div class=""bounty-pro"
keboola.com,security@keboola.com,5,direct,https://www.keboola.com/.well-known/security.txt,curity.txt # # We welcome reports from the security-research community. # Report vulnerabilities to security@keboola.com — see our policy below. Contact: mailto:security@keboola.com Policy: https://bu
kixie.com,security@kixie.com,5,direct,https://www.kixie.com/privacy-policy/,"f your Registration Information, you agree to notify Kixie immediately at the email address &#8211; security@kixie.com.</p> <h3 class=""wp-block-heading"">7. Your Use of the Service</h3> <p class=""wp-bl"
klaviyo.com,abuse@klaviyo.com,5,direct,https://www.klaviyo.com/contact-us,iyo.com/security/bug-reporting&lt;/a&gt;&lt;/li&gt;&lt;li&gt;Report abuse: &lt;a href=\&quot;mailto:abuse@klaviyo.com\&quot;&gt;abuse@klaviyo.com&lt;/a&gt;&lt;/li&gt;&lt;li&gt;Request access to our th
lawvu.com,security@lawvu.com,5,direct,https://lawvu.com/.well-known/security.txt,Contact: mailto:security@lawvu.com Expires: 2027-01-01T00:00:00.000Z
leadfeeder.com,security@leadfeeder.com,5,direct,https://www.leadfeeder.com/security/,"imary-signal-green hover:brightness-90 transition-colors duration-200 w-full md:w-fit"" href=""mailto:security@leadfeeder.com?ref=leadfeeder""> Contact our security team </a> </div> <div class=""flex flex"
leadmagic.io,security@leadmagic.io,5,direct,https://leadmagic.io/.well-known/security.txt,or reporting responsibly. # Policy and scope: https://leadmagic.io/company/security Contact: mailto:security@leadmagic.io Contact: https://leadmagic.io/company/contact Expires: 2027-01-01T00:00:00.000
linear.app,security@linear.app,5,direct,https://linear.app/.well-known/security.txt,Contact: mailto:security@linear.app Expires: 2026-12-31T08:00:00.000Z Policy: https://linear.app/security/vulnerability
lockchain.ai,security@lockchain.ai,5,direct,https://lockchain.ai/security.txt,Contact: mailto:security@lockchain.ai Expires: 2025-04-01T04:00:00.000Z Encryption: https://lockchain.ai/pgp-key.txt Preferred-Languages:
lovable.dev,abuse@lovable.dev,5,direct,https://lovable.dev/abuse,"s keep Lovable safe by reporting any abuse or policy violations. Please email us at <a href=""mailto:abuse@lovable.dev"" class=""hover:text-primary underline transition-colors"">abuse@lovable.dev</a> to r"
ludusengine.com,security@ludusengine.com,5,direct,https://ludusengine.com/.well-known/security.txt,"Canonical: https://app.ludusengine.com/.well-known/security.txt Contact: mailto:security@ludusengine.com Expires: 2026-12-31T11:01:00Z Preferred-Languages: en,pl"
luma.com,security@luma.com,5,direct,https://luma.com/.well-known/security.txt,Contact: mailto:security@luma.com Policy: https://help.luma.com/p/security-bug-bounty Preferred-Languages: en Canonical: https://luma
mapbox.com,security@mapbox.com,5,direct,https://www.mapbox.com/platform/security,"of your account, your data, and your users.</p></div><div class=""link-group_layout""><a href=""mailto:security@mapbox.com"" class=""button w-inline-block""><div>Contact security team</div></a><a href=""http"
me.sh,security@me.sh,5,direct,https://library.me.sh/knowledge-base/security-and-privacy/,"bility in several different ways:</p> <ul class=""wp-block-list""> <li>Email us at <a href=""mailto:security@me.sh"">security@me.sh</a></li> <li>Submit a vulnerability to us using our <a href=""https://hac"
megaport.com,vulnerability.disclosure@megaport.com,5,direct,https://www.megaport.com/.well-known/security.txt,Contact: mailto:vulnerability.disclosure@megaport.com Expires: 2026-03-31T13:59:00.000Z Encryption: https://www.megaport.com/.well-known/security.pgp Pre
meisterlabs.com,security@meisterlabs.com,5,direct,https://meisterlabs.com/.well-known/security.txt,Canonical: https://meisterlabs.com/.well-known/security.txt Contact: mailto:security@meisterlabs.com Encryption: https://keys.openpgp.org/vks/v1/by-fingerprint/674445895C16DD7B66872784840E3D53AEA4E974
mercadolibre.com,bugbounty@mercadolibre.com,5,direct,https://mercadolibre.com/security.txt,Contact: mailto:bugbounty@mercadolibre.com Policy: https://hackerone.com/mercadolibre Acknowledgments: https://hackerone.com/mercadolibre Pre
mercury.com,security@mercury.com,5,direct,https://mercury.com/security,"ake pride in them. If you need our SOC 2 report for your own compliance records, reach out to us at security@mercury.com and we’d be glad to help.\""]}]]}]]}]]}]]\n""])</script><script>self.__next_f.pus"
miro.com,security@miro.com,5,direct,https://trust.miro.com/,"w Miro Trust center's compliance certifications, resources and subprocessors with Wolfia."",""email"":""security@miro.com""}</script><script>(function(){function swap(l){if(!l.href||l.dataset.cssSwap===""do"
mittwald.de,abuse@mittwald.de,5,direct,https://www.mittwald.de/.well-known/security.txt,"g== =a2Co -----END PGP PUBLIC KEY BLOCK----- # All Abuse reports should be submitted to Contact: abuse@mittwald.de Expires: 2027-05-09T00:00.000Z Preferred-Languages: de, en"
mixmax.com,security@mixmax.com,5,direct,https://www.mixmax.com/legal/security,"lass=""accordion-content ""> <p>Please send all issues to <a href=""mailto:security@mixmax.com"" rel=""noopener"">security@mixmax.com</a>.<br><br><br>We run a bug bounty program, all details can be"
mixpanel.com,bugbounty@mixpanel.com,5,direct,https://mixpanel.com/.well-known/security.txt,Contact: https://hackerone.com/mixpanel Contact: mailto:bugbounty@mixpanel.com Contact: mailto:security@mixpanel.com Expires: 2027-05-18T23:59:59.000Z Acknowledgments: https://ha
narrative.io,security@narrative.io,5,direct,https://www.narrative.io/legals/security,"xt""><h2>Let&#x27;s Keep Each Other &amp; Data Safe</h2><p><strong>CONTACT: </strong><a href=""mailto:security@narrative.io""><strong>security@narrative.io</strong></a></p><p>At Narrative, we believe sec"
netradyne.com,infosec@netradyne.com,5,direct,https://www.netradyne.com/legal/security,"h-text-component"" id="""" STYLE=""""><div class=""rich-text w-richtext""><p>Contact us at <a href=""mailto:infosec@netradyne.com"" data-wf-native-id-path=""063cbe4e-f2df-6230-1c0d-cd8513963233"" data-wf-ao-clic"
omnidim.io,security@omnidim.io,5,direct,https://omnidim.io/.well-known/security.txt,Contact: mailto:security@omnidim.io Expires: 2027-05-20T00:00:00.000Z Preferred-Languages: en Canonical: https://omnidim.io/.well-known
onlyoffice.com,security@onlyoffice.com,5,direct,https://onlyoffice.com/.well-known/security.txt,-----BEGIN PGP SIGNED MESSAGE----- Hash: SHA512 # Contact us Contact: mailto:security@onlyoffice.com # This file is valid until: Expires: 2027-04-15T21:00:00.000Z # Our public PGP key for secure com
ontraport.com,security@ontraport.com,5,direct,https://ontraport.com/legal,"a security vulnerability or other issue in Ontraport, please report it by emailing <a href=""mailto:security@ontraport.com"" target=""_blank"" title=""Link: mailto:security@ontraport.com"" data-file_name="""""
outlit.ai,security@outlit.ai,5,direct,https://www.outlit.ai/.well-known/security.txt,Contact: mailto:security@outlit.ai Contact: mailto:leo@outlit.ai Policy: https://www.outlit.ai/terms Canonical: https://www.outlit.ai/
pagos.ai,security@pagos.ai,5,direct,https://pagos.ai/security,"text-color:var(--token-02887525-54a8-4574-82c9-2c0f33e61307, rgb(0, 187, 255))"" class=""framer-text"">security@pagos.ai</span></p></div></div></div></div></div><div class=""framer-1ebren5"" data-framer-na"
parkable.com,security@parkable.com,5,direct,https://parkable.com/security,"s, comments or concerns or if you wish to report a potential security issue, please contact <strong>security@parkable.com</strong>.</p><p></p><p></p></div></div></div></div><div class=""Footer_footer_c"
people.ai,security@people.ai,5,direct,https://www.backstory.ai/privacy,"{ ""@type"": ""ContactPoint"", ""contactType"": ""Security"", ""email"": ""security@people.ai"" } ], ""address"": { ""@type"": ""PostalAddress"", ""addressCountry"":"
pipe17.com,security@pipe17.com,5,direct,https://pipe17.com/.well-known/security.txt,# Pipe17 Security Contact File # Learn more: https://securitytxt.org Contact: mailto:security@pipe17.com Expires: 2026-06-11T23:59:59Z Preferred-Languages: en Canonical: https://pipe17.com/.well-known
placester.com,security@placester.com,5,direct,https://placester.com/security,"e you noticed abuse, misuse, an exploit, or experienced an incident with your account? Please email security@placester.com</p> </div> </div> </div> </div></div> </div></div> <footer class=""wp-block-te"
plaud.ai,security@plaud.ai,5,direct,https://security.plaud.ai/.well-known/security.txt,-----BEGIN PGP SIGNED MESSAGE----- Hash: SHA256 Contact: mailto:security@plaud.ai Encryption: https://security.plaud.ai/.well-known/pgp-key.asc Canonical: https://security.plaud.ai/
polytomic.com,security@polytomic.com,5,direct,https://www.polytomic.com/vulnerability-disclosure,"discovered a potential vulnerability, please let us know by emailing us at<!-- --> <a href=""mailto:security@polytomic.com"" class=""text-indigo-600 hover:text-indigo-700 underline"">security@polytomic.co"
postman.com,security@postman.com,5,direct,https://www.postman.com/.well-known/security.txt,Contact: https://hackerone.com/postman Contact: mailto:security@postman.com Expires: 2026-12-31T23:59:00.000Z Preferred-Languages: en Canonical: https://www.postman.com/.well-
prismatic.io,security@prismatic.io,5,direct,https://prismatic.io/.well-known/security.txt,# Prismatic security contact (RFC 9116) Contact: mailto:security@prismatic.io Contact: https://prismatic.io/legal/security/ Encryption: https://prismatic.io/legal/pgp/ Policy: h
propper.ai,security@propper.ai,5,direct,https://propper.ai/.well-known/security.txt,Policy: https://propper.ai/security-policy Contact: mailto:security@propper.ai Preferred-Languages: en Expires: 2026-12-31T23:59:59z
public.com,security@public.com,5,direct,https://public.com/security.txt,Contact: mailto:security@public.com We run our bounty program through the HackerOne platform (https://hackerone.com/). If you'd like t
